NEIGHBORHOOD,Total,Homicide,Rape,Robbery,AggAssault,Burglary,Larceny,AutoTheft,Arson
ARMATAGE,5,0,0,1,1,1,2,0,0
"AUDUBON PARK",14,0,0,3,2,3,5,1,0
BANCROFT,3,0,0,0,0,1,0,2,0
BELTRAMI,3,0,0,0,0,0,0,3,0
BOTTINEAU,8,0,0,0,0,3,4,0,1
BRYANT,3,0,0,1,1,0,0,1,0
"BRYN - MAWR",10,0,0,0,0,2,8,0,0
"CAMDEN INDUSTRIAL",1,0,0,0,0,0,1,0,0
CARAG,27,0,0,5,1,7,14,0,0
"CEDAR - ISLES - DEAN",10,0,0,0,1,3,6,0,0
"CEDAR RIVERSIDE",31,0,1,4,7,2,16,1,0
CENTRAL,29,0,1,2,1,4,17,3,1
CLEVELAND,11,0,0,1,2,3,4,1,0
"COLUMBIA PARK",2,0,0,0,0,1,0,1,0
COMO,14,0,0,1,1,6,5,1,0
COOPER,3,0,0,0,0,2,1,0,0
CORCORAN,22,0,1,3,0,5,12,1,0
"DIAMOND LAKE",6,0,0,0,0,1,4,1,0
"DOWNTOWN EAST",7,0,0,0,1,1,5,0,0
"DOWNTOWN WEST",219,0,3,11,15,4,185,1,0
"EAST HARRIET",6,0,0,0,0,3,3,0,0
"EAST ISLES",8,0,0,0,0,0,7,0,1
"EAST PHILLIPS",29,1,0,7,3,4,12,2,0
ECCO,12,0,0,0,0,1,10,1,0
"ELLIOT PARK",39,0,0,4,6,6,17,6,0
ERICSSON,4,0,0,0,0,1,2,1,0
FIELD,10,0,0,0,1,4,5,0,0
FOLWELL,35,0,1,5,7,6,11,4,1
FULTON,8,0,0,1,0,0,6,1,0
HALE,3,0,0,0,0,1,2,0,0
HARRISON,18,0,0,1,4,7,4,2,0
HAWTHORNE,37,0,0,5,2,5,15,9,1
HIAWATHA,16,0,0,1,0,5,10,0,0
HOLLAND,17,0,0,0,4,2,9,2,0
HOWE,16,0,0,0,2,6,8,0,0
"HUMBOLDT INDUSTRIAL AREA",2,0,0,0,0,0,1,1,0
JORDAN,58,1,1,9,5,8,27,7,0
KEEWAYDIN,1,0,0,0,0,0,1,0,0
KENNY,1,0,0,0,0,1,0,0,0
KENWOOD,1,0,0,0,0,0,1,0,0
"KING FIELD",10,0,0,1,1,6,2,0,0
"LIND - BOHANON",16,0,0,0,4,3,6,3,0
"LINDEN HILLS",17,0,1,0,0,3,13,0,0
"LOGAN PARK",4,0,0,1,1,0,2,0,0
LONGFELLOW,35,0,0,1,2,5,26,1,0
"LORING PARK",30,0,0,3,3,3,20,1,0
"LOWRY HILL",8,0,0,0,0,0,6,2,0
"LOWRY HILL EAST",32,0,0,1,1,7,21,2,0
LYNDALE,26,0,0,5,0,6,12,3,0
LYNNHURST,4,0,0,1,0,1,2,0,0
"MARCY HOLMES",25,0,2,0,0,3,18,2,0
"MARSHALL TERRACE",6,0,0,0,1,0,5,0,0
MCKINLEY,19,0,0,2,0,5,9,3,0
"MID - CITY INDUSTRIAL",4,0,0,0,0,1,2,1,0
"MIDTOWN PHILLIPS",32,0,0,10,1,4,14,3,0
MINNEHAHA,6,0,0,0,0,1,4,1,0
"MORRIS PARK",2,0,0,0,2,0,0,0,0
"NEAR - NORTH",52,0,2,6,4,8,25,7,0
"NICOLLET ISLAND - EAST BANK",7,0,0,0,0,0,6,1,0
"NORTH LOOP",19,0,0,1,3,0,14,1,0
"NORTHEAST PARK",11,0,0,0,0,1,9,1,0
NORTHROP,10,0,1,0,4,4,1,0,0
"PHILLIPS WEST",26,0,0,4,1,3,14,4,0
"POWDERHORN PARK",42,0,0,11,4,7,17,3,0
"PROSPECT PARK - EAST RIVER ROAD",20,0,0,1,0,4,13,2,0
REGINA,6,0,1,0,0,3,2,0,0
SEWARD,29,0,0,2,0,14,11,2,0
SHERIDAN,5,0,0,0,0,2,3,0,0
"SHINGLE CREEK",7,0,0,1,0,2,3,1,0
"ST. ANTHONY EAST",7,0,0,1,0,1,4,1,0
"ST. ANTHONY WEST",2,0,1,0,0,0,1,0,0
STANDISH,15,0,0,0,0,8,4,3,0
"STEVENS SQUARE - LORING HEIGHTS",13,0,1,1,2,1,7,1,0
"SUMNER - GLENWOOD",3,0,0,0,0,0,3,0,0
TANGLETOWN,12,0,0,0,2,2,8,0,0
"UNIVERSITY OF MINNESOTA",6,0,0,0,0,1,5,0,0
"VENTURA VILLAGE",32,0,1,10,1,10,9,1,0
VICTORY,8,0,0,0,2,3,2,1,0
"WAITE PARK",6,0,0,0,0,2,4,0,0
"WEBBER - CAMDEN",33,0,1,8,5,8,6,5,0
WENONAH,12,0,1,0,1,2,8,0,0
"WEST CALHOUN",4,0,0,0,0,2,1,1,0
WHITTIER,56,0,3,5,4,5,35,2,2
"WILLARD - HAY",44,0,3,5,11,6,11,8,0
WINDOM,10,0,1,1,1,1,5,1,0
"WINDOM PARK",16,0,0,0,1,5,10,0,0
